Date,Average_temperature____F_,Average_humidity____,Average_dewpoint____F_,Average_barometer__in_,Average_windspeed__mph_,Average_gustspeed__mph_,Average_direction____deg_,Rainfall_for_month__in_,Rainfall_for_year__in_,Maximum_rain_per_minute,Maximum_temperature____F_,Minimum_temperature____F_,Maximum_humidity____,Minimum_humidity____,Maximum_pressure,Minimum_pressure,Maximum_windspeed__mph_,Maximum_gust_speed__mph,Maximum_heat_index____F_
1/9/2022,30.3,46,11.4,30,6.9,10.6,292,0,0,0,41,19,8,27,30.446,29.575,24.2,36,41
2/5/2022,45.6,15,0.6,30,11.1,15.8,270,0,0.21,0,53,34,2,10,30.105,29.802,28.8,36,53
9/1/2022,63.9,40,29.9,30,5.5,81,355,0,8.77,0,79.8,38.9,89,11,30.194,29.684,16.1,255,79.1
9/2/2022,64,29,29.3,30,6.2,125.2,2,0,8.77,0,78.6,45.2,49,12,30.233,29.859,20.7,255,78.3
10/1/2022,35,37,10.8,30,15.1,17.8,337,0,9.33,0,40.9,29.4,52,27,30.085,29.589,34.5,44,40.9
10/2/2022,41.6,26,7.4,30,10,12.4,339,0,9.33,0,56.7,28.4,45,10,30.039,29.84,29.9,44,56.7
11/1/2022,47.3,39,22.9,30,12.3,28.3,311,0,10.11,0,54.4,37.2,59,27,30.13,29.879,29.9,255,54.4
11/11/2022,50.1,27,17,30,8.3,11.5,299,0,10.11,0,61,38.9,43,17,30.27,29.661,24.2,32,61
1/5/2023,34.3,51,17.8,30,14.2,18.5,300,0,0,0,40.1,28.4,60,43,30.173,29.897,34.5,43,40.1
1/25/2023,25.6,35,1.1,30,13.3,15.9,320,0,0,0,33.8,-1.9,57,23,30.143,29.86,25.3,33,33.8
1/26/2023,28.1,50,10.9,30,7,9.7,308,0,0,0,41.9,10.1,70,27,30.278,29.81,24.2,33,41.9
2/1/2023,27.1,43,7.2,30,13.3,18.9,307,0,0.07,0,33.4,23.8,54,32,30.093,29.806,33.4,46,33.4
2/2/2023,29.9,32,1.4,30,6.1,8.6,313,0,0.07,0,43.6,11.1,59,12,30.255,29.874,21.9,30,43.6
2/3/2023,30.6,37,6.1,30,2.2,3.9,28,0,0.07,0,43.1,18.6,64,19,30.12,29.753,13.8,16,43.1
9/2/2023,53.9,48,34.1,30,4.6,6.9,111,0,11.2,0,63.1,43.5,62,35,30.276,29.737,19.6,21.9,63.1
9/7/2023,53.5,27,15.5,30,2.7,4.4,103,0,11.2,0,75.7,27.1,58,8,30.184,29.7,16.1,20.7,75.2
10/3/2023,52.7,41,25,30,1.8,3.4,20,0,11.48,0,76.1,34.1,80,12,30.167,29.865,18.4,26.5,76.2
10/5/2023,53.9,46,31.1,30,2,3.6,92,0,11.48,0,71.7,34.9,79,21,30.189,29.903,13.8,18.4,76.7
10/7/2023,55.6,52,35,30,3.5,5.9,318,0,11.48,0,72.5,37.2,90,19,30.257,29.782,28.8,41.4,77.7
12/2/2023,42.2,39,18.2,30,12.6,19,310,0,12.69,0,48.8,36.4,58,28,30.126,29.826,31.1,43.7,48.8
1/3/2024,24.5,49,6.8,30,9.5,16.5,314,0,0,0,33.8,10.2,82,25,30.204,29.912,105.8,255.3,33.8
1/4/2024,26.9,37,3.6,30,16.6,23.6,313,0,0,0,32.5,22.7,47,23,30.169,29.912,35.7,43.7,32.5
